dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
banking77_oos,50,87,ce_recon,k2,2,1,0.9403522818254604,0.7626623376623377,0.8422373610613123,0.851,0.7626623376623377,0.8872483766233765,0.9563912219500779,0.494,0.43309002433090027,0.8175565018015067,0.9225387306346826,1.0,4,complete
banking77_oos,50,87,ce_recon,frozen_selected_k,1,1,0.9465201465201465,0.8389610389610389,0.889500860585198,0.854,0.8389610389610389,0.9143655844155845,0.9687916211597836,0.401,0.12298682284040996,0.9446559297218156,0.9271457085828343,1.0,4,complete
stackoverflow,50,13,ce_recon,k1,1,2,0.8494028546460821,0.9739478957915831,0.9074218142212541,0.8274365821094793,0.9739478957915831,0.9438082885842892,0.9168198580196586,0.14886515353805074,0.6530612244897959,0.8720613709477852,0.6967741935483871,1.0,5,complete
stackoverflow,50,13,ce_recon,k2,2,2,0.9030803906836965,0.802939211756847,0.8500707213578501,0.9138851802403204,0.802939211756847,0.937763488704155,0.9064527680725916,0.1588785046728972,0.40427426536064115,0.8787121842908687,0.8215767634854771,1.0,5,complete
stackoverflow,50,13,ce_recon,frozen_selected_k,2,2,0.9030803906836965,0.802939211756847,0.8500707213578501,0.9138851802403204,0.802939211756847,0.937763488704155,0.9064527680725916,0.1588785046728972,0.40427426536064115,0.8787121842908687,0.8215767634854771,1.0,5,complete
stackoverflow,50,87,ce_recon,k1,1,1,0.843021448554554,0.9052069425901201,0.8730082085948817,0.8313293253173013,0.9052069425901201,0.901789337464426,0.8457131972965034,0.20574482297929192,0.43763364219529577,0.876255819652046,0.7096032202415181,1.0,5,complete
stackoverflow,50,87,ce_recon,k2,2,1,0.8638247483718177,0.4869826435246996,0.6228388473852722,0.9231796927187709,0.4869826435246996,0.8836478029490222,0.8451251394021055,0.3944555778223113,0.0024330900243309003,0.5956854558107167,0.8309178743961353,1.0,5,complete
stackoverflow,50,87,ce_recon,frozen_selected_k,1,1,0.843021448554554,0.9052069425901201,0.8730082085948817,0.8313293253173013,0.9052069425901201,0.901789337464426,0.8457131972965034,0.20574482297929192,0.43763364219529577,0.876255819652046,0.7096032202415181,1.0,5,complete
clinc150,50,42,ce_recon,k1,1,1,0.8387530233808116,0.9603076923076923,0.895423899010185,0.7333333333333333,0.9603076923076923,0.941894564102564,0.9503278824369604,0.22977777777777778,0.5394819962097284,0.8679577464788732,0.7064579256360078,1.0,5,complete
clinc150,50,42,ce_recon,k2,2,1,0.8296354992076069,0.9664615384615385,0.8928368391131325,0.7133333333333334,0.9664615384615385,0.9345772307692308,0.9396257249752206,0.23022222222222222,0.5538832028898254,0.8562062937062938,0.691239827668741,1.0,5,complete
