dataset,configuration_type,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,all_test_candidates,1,0.25,1.0,normalized_union,3,0.8764836865244168,0.004620773426085409,0.6754897155206955,0.010388696280093961,0.7080199395922334,0.010490611501178812,0.8075980392156863,0.006161669161753181,0.661622807017544,0.012715516679231749,0.06315104166666667,0.004536784216193842,0.33837719298245617,0.012715516679231776,0.0,0.0,0.1084253245063444,0.003881486294457217,86.49,1.1583686524416805,True
banking77_oos,all_test_candidates,1,0.25,1.1,nearest_sphere,3,0.8761784426403824,0.003598291736104381,0.7047235968248291,0.005173042775768419,0.7832620189282515,0.005771621811230482,0.8053104575163399,0.0038873781873759073,0.8342105263157894,0.009319530421436724,0.1436197916666667,0.003194751079787836,0.16578947368421051,0.009319530421436748,0.0,0.0,0.13775050191827296,0.002840674912867608,86.49,1.1278442640382451,True
banking77_oos,all_test_candidates,1,2.0,0.8,normalized_union,3,0.8761248936756512,0.0057284802727562666,0.6836098667757663,0.005323508109599648,0.733589708722531,0.004782023934485491,0.8062091503267975,0.0062048488712573395,0.7260964912280702,0.004874147098880013,0.09361979166666667,0.009888977888566424,0.27390350877192987,0.004874147098880022,0.0,0.0,0.12202713038913938,0.0030902207539651376,86.49,1.122489367565123,True
banking77_oos,all_test_candidates,1,0.25,1.1,normalized_union,3,0.8761038290585946,0.003596914570584251,0.7046610104472438,0.005236667654024039,0.7832620189282515,0.005771621811230482,0.8052287581699348,0.003913049024453596,0.8342105263157894,0.009319530421436724,0.14375000000000002,0.0030757843257858603,0.16578947368421051,0.009319530421436748,0.0,0.0,0.13775050191827296,0.002840674912867608,86.49,1.120382905859472,True
banking77_oos,all_test_candidates,1,1.5,0.9,normalized_union,3,0.8758992581148086,0.005394662259713589,0.7031888068002871,0.002685546641884644,0.7783080444403988,0.005412867534101336,0.8058823529411766,0.004889690525308807,0.817763157894737,0.008390844942854806,0.13645833333333332,0.008829238806335772,0.18223684210526314,0.00839084494285482,0.0,0.0,0.1332717272334922,0.003918016678039555,86.49,1.0999258114808725,True
banking77_oos,all_test_candidates,1,2.5,0.75,nearest_sphere,3,0.8744182412808253,0.006441372828275634,0.6781618995042743,0.004006921978953866,0.7262505575955154,0.003218583676624747,0.8041666666666667,0.0066342686440071475,0.7142543859649123,0.001351845176089677,0.09127604166666668,0.011430185597580593,0.2857456140350877,0.00135184517608968,0.0,0.0,0.12066134690026871,0.0039178553631339435,86.49,0.951824128082535,True
banking77_oos,all_test_candidates,1,2.0,0.85,nearest_sphere,3,0.8742162188744566,0.00684039026661322,0.7022912064167789,0.0032237049516687937,0.7799268971598549,0.005687140102123227,0.80359477124183,0.0063547178047810935,0.8249999999999998,0.006194932847291899,0.14270833333333333,0.011659281982043563,0.17499999999999996,0.006194932847291908,0.0,0.0,0.13557199933646713,0.004150710852604877,86.49,0.9316218874456581,True
banking77_oos,all_test_candidates,2,1.25,0.9,nearest_sphere,3,0.8737032153818484,0.006174715684391056,0.6857198259820786,0.009245047616800717,0.7415423114582183,0.007035305205574709,0.8035130718954249,0.007437782141660785,0.7350877192982456,0.008222953183882721,0.10221354166666667,0.010057276831941412,0.2649122807017544,0.008222953183882765,0.0,0.0,0.12293804858749763,0.0024242726095768208,86.49,0.8803215381848446,True
banking77_oos,all_test_candidates,1,1.25,0.95,nearest_sphere,3,0.8736601237357343,0.006315819258311267,0.705531299390821,0.004490137343215825,0.7887201514481873,0.005107076995350521,0.8032679738562091,0.006113819259434572,0.8423245614035088,0.007410853179261318,0.15169270833333334,0.008494534599114627,0.15767543859649122,0.0074108531792613265,0.0,0.0,0.13641553588481178,0.003953599505496529,86.49,0.8760123735734311,True
banking77_oos,all_test_candidates,2,1.25,0.9,normalized_union,3,0.8733258968970471,0.006528984978169242,0.6865266327069198,0.008545112811525295,0.7439961243531331,0.006284028457660742,0.8031045751633986,0.0074887601425039215,0.7401315789473685,0.008390844942854836,0.10520833333333335,0.011385600124322482,0.2598684210526316,0.00839084494285482,0.0,0.0,0.12357104538929613,0.0015447420178857731,86.49,0.8425896897047096,True
banking77_oos,all_test_candidates,2,1.5,0.85,normalized_union,3,0.8731825481040523,0.004074480713415161,0.6782040904697332,0.006783738695515838,0.7257943710407363,0.006790612317444388,0.8031045751633986,0.004886959617234682,0.7032894736842105,0.007106075327201615,0.08854166666666667,0.008560145788486248,0.2967105263157895,0.007106075327201607,0.0,0.0,0.11758212367091014,0.0027341153129175223,86.49,0.8282548104052267,True
