dataset,seed,split,k,radius_lambda,threshold,acceptance_mode,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
clinc150,13,test,1,1.0,1.2,normalized_union,0.7480656727684469,0.8057749979775589,0.7410909090909091,0.9702222222222222,0.39015384615384613,0.029777777777777778,0.9382851282051283,0.9527845398541773
clinc150,13,val,1,1.25,0.85,nearest_sphere,0.7979772439949431,0.6142281689263656,0.7409677419354839,0.482,0.01375,0.518,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,0.85,nearest_sphere,0.8381969775924961,0.6035224901807875,0.773090909090909,0.46266666666666667,0.010153846153846154,0.5373333333333333,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,0.9,nearest_sphere,0.8300079808459697,0.7170124238298192,0.792258064516129,0.6006666666666667,0.025,0.3993333333333333,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,0.9,nearest_sphere,0.8623503808487486,0.704005023182901,0.814,0.5857777777777777,0.024615384615384615,0.4142222222222222,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,0.95,nearest_sphere,0.8567399887196842,0.7962243801222358,0.8338709677419355,0.7153333333333334,0.050625,0.2846666666666667,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,0.95,nearest_sphere,0.8817265369870794,0.7757521196531936,0.8452727272727273,0.6942222222222222,0.04461538461538461,0.30577777777777776,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,1.0,nearest_sphere,0.8766796058524933,0.8461330050091292,0.8622580645161291,0.8126666666666666,0.0825,0.18733333333333332,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,1.0,nearest_sphere,0.8910626945309026,0.8175770507142724,0.8618181818181818,0.7817777777777778,0.07507692307692308,0.21822222222222223,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,1.05,nearest_sphere,0.8747628083491461,0.8648243664437153,0.8658064516129033,0.8806666666666667,0.135625,0.11933333333333333,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,1.05,nearest_sphere,0.8852664576802508,0.8363568861263918,0.8592727272727273,0.864,0.13107692307692306,0.136,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,1.1,nearest_sphere,0.8330499829989799,0.8523036391706119,0.8309677419354838,0.9226666666666666,0.234375,0.07733333333333334,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,1.1,nearest_sphere,0.8541909681719714,0.8252433648277183,0.8274545454545454,0.9164444444444444,0.2113846153846154,0.08355555555555555,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,1.2,nearest_sphere,0.6655883542256369,0.8225608314716666,0.7109677419354838,0.9666666666666667,0.485625,0.03333333333333333,0.931845,0.9223272266837363
clinc150,13,test,1,1.25,1.2,nearest_sphere,0.7182150413541065,0.7894381685105561,0.7076363636363636,0.9635555555555556,0.42553846153846153,0.036444444444444446,0.9342177094017093,0.9464919531672116
clinc150,13,val,1,1.25,0.85,normalized_union,0.7979772439949431,0.6142281689263656,0.7409677419354839,0.482,0.01375,0.518,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,0.85,normalized_union,0.8384154287203545,0.6058624118259605,0.7738181818181818,0.46355555555555555,0.010153846153846154,0.5364444444444444,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.25,0.9,normalized_union,0.8300079808459697,0.7170124238298192,0.792258064516129,0.6006666666666667,0.025,0.3993333333333333,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,0.9,normalized_union,0.8624302626207647,0.7071512950992266,0.8149090909090909,0.5866666666666667,0.024923076923076923,0.41333333333333333,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.25,0.95,normalized_union,0.8569816643159379,0.7967234888566387,0.8341935483870968,0.716,0.050625,0.284,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,0.95,normalized_union,0.8823529411764706,0.7799247795040746,0.8470909090909091,0.6964444444444444,0.04461538461538461,0.3035555555555556,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.25,1.0,normalized_union,0.8770565360454682,0.8482497383796461,0.863225806451613,0.8153333333333334,0.08375,0.18466666666666667,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,1.0,normalized_union,0.8915591158581813,0.8232113681245408,0.8641818181818182,0.784,0.07538461538461538,0.216,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.25,1.05,normalized_union,0.8727735368956743,0.8663311685995441,0.8651612903225806,0.8853333333333333,0.1425,0.11466666666666667,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,1.05,normalized_union,0.8860242100298695,0.8445260821399143,0.862909090909091,0.8697777777777778,0.13292307692307692,0.1302222222222222,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.25,1.1,normalized_union,0.8285123966942148,0.8567556453585826,0.8306451612903226,0.9326666666666666,0.248125,0.06733333333333333,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,1.1,normalized_union,0.8506985356000674,0.8355478494510359,0.8292727272727273,0.9271111111111111,0.22246153846153846,0.07288888888888889,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.25,1.2,normalized_union,0.5928169623539593,0.8100520656256999,0.6790322580645162,0.9826666666666667,0.571875,0.017333333333333333,0.9375845833333333,0.9376757624727586
clinc150,13,test,1,1.25,1.2,normalized_union,0.6605579311749135,0.7880129803101842,0.6798181818181818,0.9826666666666667,0.5009230769230769,0.017333333333333333,0.9401487863247864,0.9547111488028966
clinc150,13,val,1,1.5,0.85,nearest_sphere,0.8145454545454546,0.6660106529463725,0.7680645161290323,0.5453333333333333,0.02,0.45466666666666666,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,0.85,nearest_sphere,0.8504461313090957,0.6560842932996348,0.7943636363636364,0.5262222222222223,0.017538461538461537,0.4737777777777778,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,0.9,nearest_sphere,0.8476347634763476,0.7659168345513129,0.8190322580645162,0.67,0.036875,0.33,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,0.9,nearest_sphere,0.8731021033570135,0.7448918056433185,0.8316363636363636,0.6466666666666666,0.03569230769230769,0.35333333333333333,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,0.95,nearest_sphere,0.8705813613789074,0.8308433756267027,0.8541935483870968,0.778,0.06875,0.222,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,0.95,nearest_sphere,0.8908322401982218,0.8077855405017997,0.8598181818181818,0.7533333333333333,0.05969230769230769,0.24666666666666667,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,1.0,nearest_sphere,0.8824436902190682,0.8654601363101572,0.8722580645161291,0.8593333333333333,0.10625,0.14066666666666666,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,1.0,nearest_sphere,0.8935909230297455,0.837349055057839,0.8678181818181818,0.8408888888888889,0.10338461538461538,0.15911111111111112,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,1.05,nearest_sphere,0.8515702479338843,0.8550420791335278,0.8454838709677419,0.9086666666666666,0.195,0.09133333333333334,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,1.05,nearest_sphere,0.8716785482825664,0.8320868733692879,0.8454545454545455,0.8968888888888888,0.1723076923076923,0.10311111111111111,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,1.1,nearest_sphere,0.800709219858156,0.8432392648062026,0.8048387096774193,0.9393333333333334,0.294375,0.06066666666666667,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,1.1,nearest_sphere,0.8296296296296296,0.814621302621027,0.8041818181818182,0.9346666666666666,0.2590769230769231,0.06533333333333333,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,1.2,nearest_sphere,0.6120033812341504,0.8190201318746811,0.6793548387096774,0.972,0.5475,0.028,0.9325841666666665,0.9228922046470175
clinc150,13,test,1,1.5,1.2,nearest_sphere,0.6641129032258064,0.7851206648139213,0.6678181818181819,0.972,0.49323076923076925,0.028,0.9344172307692308,0.9464954497358649
clinc150,13,val,1,1.5,0.85,normalized_union,0.8145454545454546,0.6660106529463725,0.7680645161290323,0.5453333333333333,0.02,0.45466666666666666,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,0.85,normalized_union,0.8505594033031433,0.6589712834457735,0.7952727272727272,0.5266666666666666,0.017538461538461537,0.47333333333333333,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,1.5,0.9,normalized_union,0.8476347634763476,0.7659168345513129,0.8190322580645162,0.67,0.036875,0.33,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,0.9,normalized_union,0.8735888501742161,0.7493931688867678,0.8334545454545454,0.6484444444444445,0.03569230769230769,0.35155555555555557,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,1.5,0.95,normalized_union,0.8712697483908719,0.8324562565656597,0.8551612903225806,0.7806666666666666,0.069375,0.21933333333333332,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,0.95,normalized_union,0.8914502480303472,0.8132069813387631,0.8621818181818182,0.756,0.06,0.244,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,1.5,1.0,normalized_union,0.8812403100775194,0.86744351016099,0.8722580645161291,0.864,0.111875,0.136,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,1.0,normalized_union,0.8937740199846272,0.8464127483450885,0.8712727272727273,0.8453333333333334,0.10553846153846154,0.15466666666666667,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,1.5,1.05,normalized_union,0.8496993987975952,0.8609783068764528,0.8467741935483871,0.9186666666666666,0.205,0.08133333333333333,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,1.05,normalized_union,0.8694231083510378,0.8448322244368739,0.8487272727272728,0.9071111111111111,0.18153846153846154,0.09288888888888888,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,1.5,1.1,normalized_union,0.7791636096845195,0.8443078824588713,0.7935483870967742,0.9573333333333334,0.33625,0.042666666666666665,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,1.1,normalized_union,0.8151424022642845,0.826668277488946,0.7998181818181819,0.956,0.29107692307692307,0.044,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,1.5,1.2,normalized_union,0.48711943793911006,0.7960132780728532,0.6287096774193548,0.99,0.675,0.01,0.9391891666666665,0.9399836448589827
clinc150,13,test,1,1.5,1.2,normalized_union,0.5588883987648875,0.7720614674922075,0.6192727272727273,0.9924444444444445,0.6101538461538462,0.007555555555555556,0.9413531623931624,0.9562106437334745
clinc150,13,val,1,2.0,0.85,nearest_sphere,0.8499724214009928,0.7699149838042347,0.822258064516129,0.6766666666666666,0.036875,0.3233333333333333,0.933095,0.9232406136892831
clinc150,13,test,1,2.0,0.85,nearest_sphere,0.8759083286752376,0.7501147000193347,0.8356363636363636,0.6568888888888889,0.03569230769230769,0.3431111111111111,0.9342043076923077,0.9462047511120764
clinc150,13,val,1,2.0,0.9,nearest_sphere,0.8745961820851689,0.8359841520855386,0.8590322580645161,0.7893333333333333,0.069375,0.21066666666666667,0.933095,0.9232406136892831
clinc150,13,test,1,2.0,0.9,nearest_sphere,0.8913616398243045,0.8093366042447317,0.860909090909091,0.7617777777777778,0.06338461538461539,0.23822222222222222,0.9342043076923077,0.9462047511120764
clinc150,13,val,1,2.0,0.95,nearest_sphere,0.8816402609506058,0.8675221067395132,0.8725806451612903,0.8666666666666667,0.113125,0.13333333333333333,0.933095,0.9232406136892831
clinc150,13,test,1,2.0,0.95,nearest_sphere,0.8927250308261405,0.8390182086943117,0.8672727272727273,0.848,0.10892307692307693,0.152,0.9342043076923077,0.9462047511120764
