protocol_version,experiment,dataset,kir,seed,method,representation,threshold_selection,embedding_reused_within_matrix,run_id,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,fpr95,known_macro_f1,f1_all,accuracy,combined_oos_f1,combined_auroc,combined_false_accept_rate,heldout_intent_oos_f1,heldout_intent_auroc,heldout_intent_false_accept_rate,native_oos_f1,native_auroc,native_false_accept_rate
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,87,msp,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_87__repr_frozen_minilm__baseline_msp,0.824664626971052,0.9177579884756417,0.7487179487179487,0.9532738095238096,0.2512820512820513,0.04672619047619048,0.9468888634513636,0.9236285470891487,0.23422619047619048,0.8745223316569827,0.8740811130314435,0.8512280701754386,0.824664626971052,0.9468888634513636,0.2512820512820513,0.7290543851053405,0.9245313805346699,0.3473684210526316,0.852431289640592,0.9681284722222223,0.16
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,100,energy,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_100__repr_frozen_minilm__baseline_energy,0.7942326490713587,0.9275114155251142,0.6944444444444444,0.962202380952381,0.3055555555555556,0.037797619047619045,0.9473702686202687,0.928433628585337,0.24017857142857144,0.868365616058794,0.867709572103153,0.8340350877192982,0.7942326490713587,0.9473702686202687,0.3055555555555556,0.6449197860962567,0.9156140350877193,0.4710526315789474,0.8701575138356747,0.9775386904761904,0.14833333333333334
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,100,knn,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_100__repr_frozen_minilm__baseline_knn,0.723789800673052,0.9179251477347341,0.5974358974358974,0.9627976190476191,0.4025641025641026,0.03720238095238095,0.9155495777370778,0.893830895454267,0.41041666666666665,0.7970408483927925,0.7963926090324408,0.7650877192982456,0.723789800673052,0.9155495777370778,0.4025641025641026,0.4731442365721183,0.8556276106934001,0.656140350877193,0.8631488631488632,0.9724754464285715,0.16166666666666665
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,100,lof,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_100__repr_frozen_minilm__baseline_lof,0.6582763337893297,0.914828897338403,0.514102564102564,0.9666666666666667,0.4858974358974359,0.03333333333333333,0.9060164199226699,0.8641284551843597,0.4294642857142857,0.7843145684492102,0.7831991858416006,0.7317543859649123,0.6582763337893297,0.9060164199226699,0.4858974358974359,0.5458768873403019,0.8626313178780285,0.5877192982456141,0.7168704156479218,0.9472322668650794,0.38916666666666666
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,100,msp,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_100__repr_frozen_minilm__baseline_msp,0.8155943554173642,0.9261271048343291,0.7286324786324786,0.9595238095238096,0.27136752136752135,0.04047619047619048,0.9507013125763125,0.9264363325701965,0.22976190476190475,0.8803182108186635,0.879745433337236,0.8505263157894737,0.8155943554173642,0.9507013125763125,0.27136752136752135,0.7012722646310433,0.9262343358395991,0.3956140350877193,0.8639455782312925,0.9739449404761904,0.15333333333333332
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,123,energy,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_123__repr_frozen_minilm__baseline_energy,0.79333169894582,0.9304197814836113,0.6914529914529914,0.9639880952380953,0.30854700854700856,0.03601190476190476,0.9444438085063084,0.9247038778574137,0.2648809523809524,0.8632522561264017,0.8626334901336531,0.8301754385964912,0.79333169894582,0.9444438085063084,0.30854700854700856,0.6433566433566433,0.9099130639097744,0.47543859649122805,0.8714224690303289,0.9772480158730159,0.15
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,123,knn,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_123__repr_frozen_minilm__baseline_knn,0.7083008066614624,0.9055222887558216,0.5816239316239317,0.9577380952380953,0.4183760683760684,0.042261904761904764,0.9074670584045584,0.8665522831014926,0.3892857142857143,0.7726742195723965,0.7721045433519457,0.7468421052631579,0.7083008066614624,0.9074670584045584,0.4183760683760684,0.4719904648390942,0.8476151315789474,0.6526315789473685,0.8365843086259211,0.9643263888888889,0.19583333333333333
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,123,lof,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_123__repr_frozen_minilm__baseline_lof,0.5816710031801099,0.8990169794459338,0.42991452991452994,0.9663690476190476,0.5700854700854701,0.03363095238095238,0.8983302808302809,0.83860339513096,0.3943452380952381,0.7522493737896695,0.75073983068693,0.6866666666666666,0.5816710031801099,0.8983302808302809,0.5700854700854701,0.42290748898678415,0.85687421679198,0.7052631578947368,0.675743822491175,0.9377135416666668,0.44166666666666665
protocol_v2_textoir_v1,native_baselines_v1,clinc150,0.75,123,msp,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__clinc150__kir_0.75__seed_123__repr_frozen_minilm__baseline_msp,0.7906976744186046,0.9255014326647565,0.6901709401709402,0.9613095238095238,0.30982905982905984,0.03869047619047619,0.9444714082214083,0.9208073448450927,0.26845238095238094,0.8679195680642365,0.8672361884744523,0.8319298245614035,0.7906976744186046,0.9444714082214083,0.30982905982905984,0.6496544391281234,0.9140953947368421,0.46403508771929824,0.8603256212510711,0.9733286210317461,0.16333333333333333
protocol_v2_textoir_v1,native_baselines_v1,stackoverflow,0.25,13,energy,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__stackoverflow__kir_0.25__seed_13__repr_frozen_minilm__baseline_energy,0.6603025407548833,0.9735816370723257,0.49955555555555553,0.9593333333333334,0.5004444444444445,0.04066666666666666,0.9244431111111111,0.9635035767076697,0.22,0.6066883888153155,0.6156240808052434,0.6081666666666666,0.6603025407548833,0.9244431111111111,0.5004444444444445,0.6603025407548833,0.9244431111111111,0.5004444444444445,,,
