dataset,kir,method,metric,n_seeds,mean_trainable_minus_baseline,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
clinc150,0.75,lof,aupr_oos,5,0.07384500911565295,0.06641449669781334,0.08094717739171915,5,0,0,20260725,10000
clinc150,0.75,msp,oos_f1,5,0.01296614801225573,0.0008100222407889434,0.02989195347453133,4,0,1,20260725,10000
clinc150,0.75,msp,f1_all,5,-0.04716444138611979,-0.05541217078319223,-0.03891671198904736,0,0,5,20260725,10000
clinc150,0.75,msp,known_recall,5,-0.20577380952380953,-0.2125,-0.2003571428571429,0,0,5,20260725,10000
clinc150,0.75,msp,false_accept_rate,5,-0.2284615384615385,-0.25213675213675224,-0.20957264957264962,0,0,5,20260725,10000
clinc150,0.75,msp,auroc,5,0.0011490638990639067,-0.00280891330891333,0.005048992673992681,3,0,2,20260725,10000
clinc150,0.75,msp,aupr_oos,5,-0.0018225920669275642,-0.009197786576751077,0.005393388183814141,3,0,2,20260725,10000
stackoverflow,0.25,energy,oos_f1,5,0.27864283654187627,0.24413433266570733,0.3175906135964524,5,0,0,20260725,10000
stackoverflow,0.25,energy,f1_all,5,0.2314460534936149,0.22329130635575103,0.23964280516617606,5,0,0,20260725,10000
stackoverflow,0.25,energy,known_recall,5,-0.10866666666666669,-0.1186666666666667,-0.09866666666666668,0,0,5,20260725,10000
stackoverflow,0.25,energy,false_accept_rate,5,-0.4406666666666667,-0.48168888888888894,-0.40311111111111114,0,0,5,20260725,10000
stackoverflow,0.25,energy,auroc,5,0.024053807407407434,0.013200711111111185,0.03257016296296298,5,0,0,20260725,10000
stackoverflow,0.25,energy,aupr_oos,5,0.013636916411762078,0.006209253000762427,0.018679348015361863,4,0,1,20260725,10000
stackoverflow,0.25,knn,oos_f1,5,0.15511651189890419,0.12388642087705633,0.18757645726594463,5,0,0,20260725,10000
stackoverflow,0.25,knn,f1_all,5,0.2092391195001432,0.18092213176889096,0.22986627461183679,5,0,0,20260725,10000
stackoverflow,0.25,knn,known_recall,5,-0.10733333333333336,-0.11813333333333335,-0.09840000000000004,0,0,5,20260725,10000
stackoverflow,0.25,knn,false_accept_rate,5,-0.2816000000000001,-0.3274222222222223,-0.23884444444444447,0,0,5,20260725,10000
stackoverflow,0.25,knn,auroc,5,0.010219644444444499,0.0015054518518519133,0.01703019259259264,4,0,1,20260725,10000
stackoverflow,0.25,knn,aupr_oos,5,0.0017272572073967264,-0.003690990235752367,0.005475400663390073,4,0,1,20260725,10000
stackoverflow,0.25,lof,oos_f1,5,0.42862194650863544,0.3720714315588599,0.5013362262340475,5,0,0,20260725,10000
stackoverflow,0.25,lof,f1_all,5,0.358459352703438,0.33568410738390086,0.38299753956716664,5,0,0,20260725,10000
stackoverflow,0.25,lof,known_recall,5,-0.10946666666666668,-0.11799999999999997,-0.10306666666666671,0,0,5,20260725,10000
stackoverflow,0.25,lof,false_accept_rate,5,-0.5943111111111111,-0.6479555555555556,-0.5505777777777777,0,0,5,20260725,10000
stackoverflow,0.25,lof,auroc,5,0.09424170370370377,0.08285694814814817,0.10488512592592603,5,0,0,20260725,10000
stackoverflow,0.25,lof,aupr_oos,5,0.042131765889186726,0.036975931566279166,0.047239664927090017,5,0,0,20260725,10000
stackoverflow,0.25,msp,oos_f1,5,0.3496135244509716,0.30668433947398277,0.4031444883127013,5,0,0,20260725,10000
stackoverflow,0.25,msp,f1_all,5,0.2583701512524761,0.2447910060455742,0.2788164900444262,5,0,0,20260725,10000
stackoverflow,0.25,msp,known_recall,5,-0.11413333333333335,-0.12320000000000005,-0.10506666666666668,0,0,5,20260725,10000
stackoverflow,0.25,msp,false_accept_rate,5,-0.5189777777777779,-0.569288888888889,-0.47680000000000006,0,0,5,20260725,10000
stackoverflow,0.25,msp,auroc,5,0.030144859259259294,0.018232000000000116,0.0388039111111111,5,0,0,20260725,10000
stackoverflow,0.25,msp,aupr_oos,5,0.016787459267257644,0.00886352642593453,0.022050223034371562,5,0,0,20260725,10000
stackoverflow,0.5,energy,oos_f1,5,0.4058987054937561,0.35928416546859937,0.45251324551891303,5,0,0,20260725,10000
stackoverflow,0.5,energy,f1_all,5,0.15920781102253234,0.14372725378059642,0.17638406289555125,5,0,0,20260725,10000
stackoverflow,0.5,energy,known_recall,5,-0.11720000000000004,-0.12393333333333337,-0.11173333333333338,0,0,5,20260725,10000
stackoverflow,0.5,energy,false_accept_rate,5,-0.5828,-0.6143333333333334,-0.5466666666666666,0,0,5,20260725,10000
stackoverflow,0.5,energy,auroc,5,0.0357850888888888,0.02841326666666657,0.04315691111111104,5,0,0,20260725,10000
stackoverflow,0.5,energy,aupr_oos,5,0.045275071782495055,0.03552160250612331,0.0558640618721532,5,0,0,20260725,10000
stackoverflow,0.5,knn,oos_f1,5,0.263363780800096,0.19607488171253593,0.3358249459932041,5,0,0,20260725,10000
stackoverflow,0.5,knn,f1_all,5,0.16612663680766854,0.13337830252443894,0.2015110836381817,5,0,0,20260725,10000
stackoverflow,0.5,knn,known_recall,5,-0.10973333333333331,-0.11579999999999999,-0.10313333333333333,0,0,5,20260725,10000
stackoverflow,0.5,knn,false_accept_rate,5,-0.43546666666666667,-0.5066666666666666,-0.3642666666666667,0,0,5,20260725,10000
stackoverflow,0.5,knn,auroc,5,0.02911038888888886,0.018877722222222216,0.03988277777777778,5,0,0,20260725,10000
stackoverflow,0.5,knn,aupr_oos,5,0.01954457823247675,0.009923516508531738,0.031841623093788,5,0,0,20260725,10000
stackoverflow,0.5,lof,oos_f1,5,0.5290792643560541,0.5227796855565053,0.5367838751281127,5,0,0,20260725,10000
stackoverflow,0.5,lof,f1_all,5,0.24421879927394494,0.2256560267307693,0.26632676746397105,5,0,0,20260725,10000
stackoverflow,0.5,lof,known_recall,5,-0.11699999999999999,-0.12013333333333334,-0.11386666666666664,0,0,5,20260725,10000
stackoverflow,0.5,lof,false_accept_rate,5,-0.6867333333333334,-0.7005333333333332,-0.6773333333333333,0,0,5,20260725,10000
stackoverflow,0.5,lof,auroc,5,0.1210412111111111,0.1078126,0.1329965444444444,5,0,0,20260725,10000
stackoverflow,0.5,lof,aupr_oos,5,0.1284120248845336,0.12061691319366925,0.14135514104407856,5,0,0,20260725,10000
stackoverflow,0.5,msp,oos_f1,5,0.3418969458902541,0.2905196163268552,0.37790118627057645,5,0,0,20260725,10000
stackoverflow,0.5,msp,f1_all,5,0.1364101824487105,0.12422879251855104,0.1517784052619145,5,0,0,20260725,10000
stackoverflow,0.5,msp,known_recall,5,-0.11386666666666667,-0.11913333333333334,-0.1086,0,0,5,20260725,10000
stackoverflow,0.5,msp,false_accept_rate,5,-0.5216000000000001,-0.5481333333333335,-0.48473333333333335,0,0,5,20260725,10000
stackoverflow,0.5,msp,auroc,5,0.03465231111111107,0.024805444444444415,0.04449917777777772,5,0,0,20260725,10000
stackoverflow,0.5,msp,aupr_oos,5,0.03942531986331328,0.027965655500122664,0.05088498422650389,5,0,0,20260725,10000
stackoverflow,0.75,energy,oos_f1,5,0.4201809810631586,0.34501209762318824,0.47426670399424503,5,0,0,20260725,10000
stackoverflow,0.75,energy,f1_all,5,0.08570802680784415,0.07286688874933285,0.09854916486635545,5,0,0,20260725,10000
