dataset,kir,seed,representation,n_centers_or_unique_radii,radius_mean,radius_std,radius_cv,radius_min,radius_max,assigned_radius_mean,assigned_radius_std,assigned_radius_cv
banking77,0.25,100,trainable,19,23.134698313717944,0.7519067396109734,0.03250125544819069,21.963730047032225,24.647891126059353,22.86705400428489,0.6683410392611746,0.02922724716248709
banking77,0.25,100,frozen,19,22.56839967736159,0.6205807763714445,0.02749777499704378,21.54474761315442,24.09732904268357,22.56839967736159,0.6205807763714445,0.02749777499704378
banking77,0.25,123,trainable,19,22.77313940113211,0.6050781962335854,0.0265698191881048,21.457168643631306,23.806031720993,22.333990292658875,0.6770953458470614,0.030316810250858795
banking77,0.25,123,frozen,19,22.426935504213883,0.681162013822051,0.030372496219738306,21.323579928891412,23.647268969170415,22.426935504213883,0.681162013822051,0.030372496219738306
banking77,0.5,13,trainable,38,22.96065885395636,0.6514644449027983,0.02837307278708791,21.773690717466348,24.241457871961334,22.717392538418782,0.624219838746398,0.027477618203354162
banking77,0.5,13,frozen,38,22.498459524168155,0.5948088652484556,0.026437759643477086,21.323579928891412,24.09732904268357,22.498459524168155,0.5948088652484556,0.026437759643477086
banking77,0.5,42,trainable,38,22.943615621932448,0.6169782339155201,0.02689106390562668,21.7725162953653,24.242926561933583,22.747603743296217,0.6161178450795255,0.027084955937879705
banking77,0.5,42,frozen,38,22.463553147815666,0.6737273023818158,0.029992018535470573,21.46434727154521,23.95467224072983,22.463553147815666,0.6737273023818158,0.029992018535470573
banking77,0.5,87,trainable,38,23.195142879387618,0.6998557479002332,0.030172512906663774,21.715961565564474,24.450343950657526,22.934178575230483,0.7305474501979579,0.03185409269407923
banking77,0.5,87,frozen,38,22.724259837091587,0.6459219994830916,0.028424336110995697,21.873680812719932,24.162828639128193,22.724259837091587,0.6459219994830916,0.028424336110995697
banking77,0.5,100,trainable,38,22.880194646428574,0.6648605093565759,0.029058341488382208,21.586959149365136,24.04865504648656,22.600023299983583,0.6841225342038763,0.030270877384642927
banking77,0.5,100,frozen,38,22.587820699329868,0.7225870560395853,0.031990118287995035,21.323579928891412,24.09732904268357,22.587820699329868,0.7225870560395853,0.031990118287995035
banking77,0.5,123,trainable,38,23.01794526167786,0.6606264748953063,0.028700497259204576,21.849619668967247,24.394247153833067,22.746271542245143,0.6549109858005409,0.0287920147521416
banking77,0.5,123,frozen,38,22.560472904311837,0.7223097788132737,0.03201660629530613,21.323579928891412,24.357717317562475,22.560472904311837,0.7223097788132737,0.03201660629530613
banking77,0.75,13,trainable,58,22.76421064274296,0.6519742878151596,0.028640320459475437,21.60255405229291,24.0562037527269,22.63165732326993,0.6547901409044091,0.02893248742464619
banking77,0.75,13,frozen,58,22.657691189761483,0.6903895625505243,0.03047042864025335,21.323579928891412,24.357717317562475,22.657691189761483,0.6903895625505243,0.03047042864025335
banking77,0.75,42,trainable,58,22.945811154645376,0.6351144133340809,0.02767888260971337,21.688055545078942,24.308214476174783,22.78393305532678,0.6239892199340528,0.027387247777581003
banking77,0.75,42,frozen,58,22.665950622593815,0.6960190880937859,0.03070769453631395,21.46434727154521,24.357717317562475,22.665950622593815,0.6960190880937859,0.03070769453631395
banking77,0.75,87,trainable,58,23.012605695875287,0.6643282119885534,0.028868013503904326,21.656409870751517,24.39298560504924,22.88764083029026,0.650678969126787,0.02842927211028482
banking77,0.75,87,frozen,58,22.769652020801033,0.5642923852010686,0.024782653010487987,21.873680812719932,24.162828639128193,22.769652020801033,0.5642923852010686,0.024782653010487987
banking77,0.75,100,trainable,58,22.96968005680382,0.6442789337672118,0.02804910352142109,21.714855800801033,24.387557371294854,22.83163278230529,0.6125398800362436,0.0268285621916172
banking77,0.75,100,frozen,58,22.639571025103205,0.6607866049363286,0.02918724052693557,21.323579928891412,24.162828639128193,22.639571025103205,0.6607866049363286,0.02918724052693557
banking77,0.75,123,trainable,58,22.924626760011634,0.6565574790403328,0.028639832871154652,21.592688731862072,24.36385722397131,22.795942844890753,0.6324966120827759,0.027746016753351227
banking77,0.75,123,frozen,58,22.60836662458045,0.7199010080095912,0.031842238758942217,21.323579928891412,24.357717317562475,22.60836662458045,0.7199010080095912,0.031842238758942217
stackoverflow,0.25,13,trainable,5,21.513873765708063,0.5701474668197022,0.02650138571178595,20.915784769439888,22.48248552587428,21.079613002273224,0.36633966005239615,0.01737886079848288
stackoverflow,0.25,13,frozen,5,20.973309285414462,0.37239850916133255,0.01775582975931752,20.799757935993824,22.366547809656208,20.973309285414462,0.37239850916133255,0.01775582975931752
stackoverflow,0.25,42,trainable,5,23.864765645910875,0.6022560791340378,0.025236203366498667,22.994583228967485,24.83626881512337,23.284784126244578,0.48808384288583034,0.02096149314675006
stackoverflow,0.25,42,frozen,5,20.275762833251353,0.6305948552893187,0.031100918888988534,20.02411955583332,22.366547809656208,20.275762833251353,0.6305948552893187,0.031100918888988534
