dataset,kir,seed,method,state,count,n_test,n_known,n_oos,rate_all,rate_known,rate_oos
clinc150,0.25,87,ADB,oos_false_accept,683,5700,1140,4560,0.11982456140350878,,0.14978070175438596
clinc150,0.25,100,Trainable-K1,known_correct,851,5700,1140,4560,0.1492982456140351,0.7464912280701754,
clinc150,0.25,100,Trainable-K1,known_wrong,3,5700,1140,4560,0.0005263157894736842,0.002631578947368421,
clinc150,0.25,100,Trainable-K1,known_rejected,286,5700,1140,4560,0.05017543859649123,0.25087719298245614,
clinc150,0.25,100,Trainable-K1,oos_correct_rejected,4496,5700,1140,4560,0.7887719298245615,,0.9859649122807017
clinc150,0.25,100,Trainable-K1,oos_false_accept,64,5700,1140,4560,0.011228070175438596,,0.014035087719298246
clinc150,0.25,100,ADB,known_correct,1022,5700,1140,4560,0.1792982456140351,0.8964912280701754,
clinc150,0.25,100,ADB,known_wrong,6,5700,1140,4560,0.0010526315789473684,0.005263157894736842,
clinc150,0.25,100,ADB,known_rejected,112,5700,1140,4560,0.019649122807017545,0.09824561403508772,
clinc150,0.25,100,ADB,oos_correct_rejected,4041,5700,1140,4560,0.7089473684210527,,0.8861842105263158
clinc150,0.25,100,ADB,oos_false_accept,519,5700,1140,4560,0.09105263157894737,,0.11381578947368422
clinc150,0.25,123,Trainable-K1,known_correct,830,5700,1140,4560,0.1456140350877193,0.7280701754385965,
clinc150,0.25,123,Trainable-K1,known_wrong,5,5700,1140,4560,0.0008771929824561404,0.0043859649122807015,
clinc150,0.25,123,Trainable-K1,known_rejected,305,5700,1140,4560,0.05350877192982456,0.2675438596491228,
clinc150,0.25,123,Trainable-K1,oos_correct_rejected,4380,5700,1140,4560,0.7684210526315789,,0.9605263157894737
clinc150,0.25,123,Trainable-K1,oos_false_accept,180,5700,1140,4560,0.031578947368421054,,0.039473684210526314
clinc150,0.25,123,ADB,known_correct,1017,5700,1140,4560,0.17842105263157895,0.8921052631578947,
clinc150,0.25,123,ADB,known_wrong,13,5700,1140,4560,0.0022807017543859647,0.011403508771929825,
clinc150,0.25,123,ADB,known_rejected,110,5700,1140,4560,0.01929824561403509,0.09649122807017543,
clinc150,0.25,123,ADB,oos_correct_rejected,4004,5700,1140,4560,0.7024561403508772,,0.8780701754385964
clinc150,0.25,123,ADB,oos_false_accept,556,5700,1140,4560,0.09754385964912281,,0.12192982456140351
clinc150,0.5,13,Trainable-K1,known_correct,1668,5700,2250,3450,0.2926315789473684,0.7413333333333333,
clinc150,0.5,13,Trainable-K1,known_wrong,9,5700,2250,3450,0.0015789473684210526,0.004,
clinc150,0.5,13,Trainable-K1,known_rejected,573,5700,2250,3450,0.10052631578947369,0.25466666666666665,
clinc150,0.5,13,Trainable-K1,oos_correct_rejected,3339,5700,2250,3450,0.5857894736842105,,0.9678260869565217
clinc150,0.5,13,Trainable-K1,oos_false_accept,111,5700,2250,3450,0.019473684210526317,,0.03217391304347826
clinc150,0.5,13,ADB,known_correct,2022,5700,2250,3450,0.3547368421052632,0.8986666666666666,
clinc150,0.5,13,ADB,known_wrong,34,5700,2250,3450,0.0059649122807017545,0.015111111111111112,
clinc150,0.5,13,ADB,known_rejected,194,5700,2250,3450,0.034035087719298245,0.08622222222222223,
clinc150,0.5,13,ADB,oos_correct_rejected,2890,5700,2250,3450,0.5070175438596491,,0.8376811594202899
clinc150,0.5,13,ADB,oos_false_accept,560,5700,2250,3450,0.09824561403508772,,0.16231884057971013
clinc150,0.5,42,Trainable-K1,known_correct,1642,5700,2250,3450,0.2880701754385965,0.7297777777777777,
clinc150,0.5,42,Trainable-K1,known_wrong,21,5700,2250,3450,0.0036842105263157894,0.009333333333333334,
clinc150,0.5,42,Trainable-K1,known_rejected,587,5700,2250,3450,0.10298245614035088,0.2608888888888889,
clinc150,0.5,42,Trainable-K1,oos_correct_rejected,3284,5700,2250,3450,0.576140350877193,,0.9518840579710145
clinc150,0.5,42,Trainable-K1,oos_false_accept,166,5700,2250,3450,0.02912280701754386,,0.04811594202898551
clinc150,0.5,42,ADB,known_correct,2036,5700,2250,3450,0.35719298245614034,0.9048888888888889,
clinc150,0.5,42,ADB,known_wrong,21,5700,2250,3450,0.0036842105263157894,0.009333333333333334,
clinc150,0.5,42,ADB,known_rejected,193,5700,2250,3450,0.03385964912280702,0.08577777777777777,
clinc150,0.5,42,ADB,oos_correct_rejected,2952,5700,2250,3450,0.5178947368421053,,0.8556521739130435
clinc150,0.5,42,ADB,oos_false_accept,498,5700,2250,3450,0.08736842105263158,,0.1443478260869565
clinc150,0.5,87,Trainable-K1,known_correct,1659,5700,2250,3450,0.2910526315789474,0.7373333333333333,
clinc150,0.5,87,Trainable-K1,known_wrong,14,5700,2250,3450,0.002456140350877193,0.006222222222222222,
clinc150,0.5,87,Trainable-K1,known_rejected,577,5700,2250,3450,0.1012280701754386,0.2564444444444444,
clinc150,0.5,87,Trainable-K1,oos_correct_rejected,3353,5700,2250,3450,0.5882456140350877,,0.9718840579710145
clinc150,0.5,87,Trainable-K1,oos_false_accept,97,5700,2250,3450,0.017017543859649122,,0.028115942028985506
clinc150,0.5,87,ADB,known_correct,1990,5700,2250,3450,0.34912280701754383,0.8844444444444445,
clinc150,0.5,87,ADB,known_wrong,35,5700,2250,3450,0.0061403508771929825,0.015555555555555555,
clinc150,0.5,87,ADB,known_rejected,225,5700,2250,3450,0.039473684210526314,0.1,
clinc150,0.5,87,ADB,oos_correct_rejected,3032,5700,2250,3450,0.5319298245614035,,0.878840579710145
clinc150,0.5,87,ADB,oos_false_accept,418,5700,2250,3450,0.07333333333333333,,0.12115942028985507
clinc150,0.5,100,Trainable-K1,known_correct,1671,5700,2250,3450,0.2931578947368421,0.7426666666666667,
clinc150,0.5,100,Trainable-K1,known_wrong,12,5700,2250,3450,0.002105263157894737,0.005333333333333333,
clinc150,0.5,100,Trainable-K1,known_rejected,567,5700,2250,3450,0.09947368421052631,0.252,
clinc150,0.5,100,Trainable-K1,oos_correct_rejected,3321,5700,2250,3450,0.5826315789473684,,0.9626086956521739
clinc150,0.5,100,Trainable-K1,oos_false_accept,129,5700,2250,3450,0.022631578947368423,,0.03739130434782609
clinc150,0.5,100,ADB,known_correct,2018,5700,2250,3450,0.35403508771929826,0.8968888888888888,
clinc150,0.5,100,ADB,known_wrong,18,5700,2250,3450,0.003157894736842105,0.008,
clinc150,0.5,100,ADB,known_rejected,214,5700,2250,3450,0.03754385964912281,0.0951111111111111,
clinc150,0.5,100,ADB,oos_correct_rejected,3004,5700,2250,3450,0.5270175438596492,,0.8707246376811594
clinc150,0.5,100,ADB,oos_false_accept,446,5700,2250,3450,0.07824561403508772,,0.12927536231884057
clinc150,0.5,123,Trainable-K1,known_correct,1639,5700,2250,3450,0.2875438596491228,0.7284444444444444,
clinc150,0.5,123,Trainable-K1,known_wrong,40,5700,2250,3450,0.007017543859649123,0.017777777777777778,
clinc150,0.5,123,Trainable-K1,known_rejected,571,5700,2250,3450,0.10017543859649122,0.25377777777777777,
clinc150,0.5,123,Trainable-K1,oos_correct_rejected,3316,5700,2250,3450,0.5817543859649122,,0.9611594202898551
clinc150,0.5,123,Trainable-K1,oos_false_accept,134,5700,2250,3450,0.023508771929824562,,0.03884057971014493
clinc150,0.5,123,ADB,known_correct,2015,5700,2250,3450,0.35350877192982455,0.8955555555555555,
clinc150,0.5,123,ADB,known_wrong,31,5700,2250,3450,0.00543859649122807,0.013777777777777778,
clinc150,0.5,123,ADB,known_rejected,204,5700,2250,3450,0.035789473684210524,0.09066666666666667,
clinc150,0.5,123,ADB,oos_correct_rejected,2897,5700,2250,3450,0.5082456140350877,,0.8397101449275363
clinc150,0.5,123,ADB,oos_false_accept,553,5700,2250,3450,0.09701754385964913,,0.16028985507246377
clinc150,0.75,13,Trainable-K1,known_correct,2458,5700,3360,2340,0.43122807017543857,0.731547619047619,
clinc150,0.75,13,Trainable-K1,known_wrong,50,5700,3360,2340,0.008771929824561403,0.01488095238095238,
clinc150,0.75,13,Trainable-K1,known_rejected,852,5700,3360,2340,0.14947368421052631,0.25357142857142856,
clinc150,0.75,13,Trainable-K1,oos_correct_rejected,2232,5700,3360,2340,0.391578947368421,,0.9538461538461539
clinc150,0.75,13,Trainable-K1,oos_false_accept,108,5700,3360,2340,0.018947368421052633,,0.046153846153846156
clinc150,0.75,13,ADB,known_correct,3016,5700,3360,2340,0.5291228070175439,0.8976190476190476,
clinc150,0.75,13,ADB,known_wrong,51,5700,3360,2340,0.008947368421052631,0.015178571428571428,
clinc150,0.75,13,ADB,known_rejected,293,5700,3360,2340,0.051403508771929826,0.08720238095238095,
clinc150,0.75,13,ADB,oos_correct_rejected,1972,5700,3360,2340,0.34596491228070175,,0.8427350427350427
clinc150,0.75,13,ADB,oos_false_accept,368,5700,3360,2340,0.06456140350877193,,0.15726495726495726
clinc150,0.75,42,Trainable-K1,known_correct,2460,5700,3360,2340,0.43157894736842106,0.7321428571428571,
clinc150,0.75,42,Trainable-K1,known_wrong,26,5700,3360,2340,0.004561403508771929,0.007738095238095238,
clinc150,0.75,42,Trainable-K1,known_rejected,874,5700,3360,2340,0.15333333333333332,0.26011904761904764,
clinc150,0.75,42,Trainable-K1,oos_correct_rejected,2248,5700,3360,2340,0.39438596491228073,,0.9606837606837607
clinc150,0.75,42,Trainable-K1,oos_false_accept,92,5700,3360,2340,0.016140350877192983,,0.039316239316239315
clinc150,0.75,42,ADB,known_correct,3021,5700,3360,2340,0.53,0.8991071428571429,
clinc150,0.75,42,ADB,known_wrong,60,5700,3360,2340,0.010526315789473684,0.017857142857142856,
clinc150,0.75,42,ADB,known_rejected,279,5700,3360,2340,0.04894736842105263,0.08303571428571428,
clinc150,0.75,42,ADB,oos_correct_rejected,1889,5700,3360,2340,0.3314035087719298,,0.8072649572649573
clinc150,0.75,42,ADB,oos_false_accept,451,5700,3360,2340,0.07912280701754386,,0.19273504273504274
clinc150,0.75,87,Trainable-K1,known_correct,2483,5700,3360,2340,0.4356140350877193,0.7389880952380953,
clinc150,0.75,87,Trainable-K1,known_wrong,40,5700,3360,2340,0.007017543859649123,0.011904761904761904,
clinc150,0.75,87,Trainable-K1,known_rejected,837,5700,3360,2340,0.14684210526315788,0.24910714285714286,
clinc150,0.75,87,Trainable-K1,oos_correct_rejected,2255,5700,3360,2340,0.3956140350877193,,0.9636752136752137
clinc150,0.75,87,Trainable-K1,oos_false_accept,85,5700,3360,2340,0.014912280701754385,,0.03632478632478633
clinc150,0.75,87,ADB,known_correct,2994,5700,3360,2340,0.5252631578947369,0.8910714285714286,
clinc150,0.75,87,ADB,known_wrong,83,5700,3360,2340,0.01456140350877193,0.02470238095238095,
clinc150,0.75,87,ADB,known_rejected,283,5700,3360,2340,0.04964912280701755,0.08422619047619048,
clinc150,0.75,87,ADB,oos_correct_rejected,1981,5700,3360,2340,0.3475438596491228,,0.8465811965811966
clinc150,0.75,87,ADB,oos_false_accept,359,5700,3360,2340,0.06298245614035088,,0.15341880341880343
clinc150,0.75,100,Trainable-K1,known_correct,2538,5700,3360,2340,0.44526315789473686,0.7553571428571428,
clinc150,0.75,100,Trainable-K1,known_wrong,23,5700,3360,2340,0.004035087719298246,0.006845238095238095,
clinc150,0.75,100,Trainable-K1,known_rejected,799,5700,3360,2340,0.14017543859649123,0.23779761904761904,
clinc150,0.75,100,Trainable-K1,oos_correct_rejected,2242,5700,3360,2340,0.3933333333333333,,0.9581196581196582
clinc150,0.75,100,Trainable-K1,oos_false_accept,98,5700,3360,2340,0.01719298245614035,,0.04188034188034188
clinc150,0.75,100,ADB,known_correct,3028,5700,3360,2340,0.5312280701754386,0.9011904761904762,
clinc150,0.75,100,ADB,known_wrong,52,5700,3360,2340,0.009122807017543859,0.015476190476190477,
clinc150,0.75,100,ADB,known_rejected,280,5700,3360,2340,0.04912280701754386,0.08333333333333333,
clinc150,0.75,100,ADB,oos_correct_rejected,1953,5700,3360,2340,0.3426315789473684,,0.8346153846153846
clinc150,0.75,100,ADB,oos_false_accept,387,5700,3360,2340,0.06789473684210526,,0.16538461538461538
clinc150,0.75,123,Trainable-K1,known_correct,2503,5700,3360,2340,0.43912280701754386,0.7449404761904762,
clinc150,0.75,123,Trainable-K1,known_wrong,39,5700,3360,2340,0.006842105263157895,0.011607142857142858,
clinc150,0.75,123,Trainable-K1,known_rejected,818,5700,3360,2340,0.14350877192982456,0.24345238095238095,
clinc150,0.75,123,Trainable-K1,oos_correct_rejected,2253,5700,3360,2340,0.3952631578947368,,0.9628205128205128
clinc150,0.75,123,Trainable-K1,oos_false_accept,87,5700,3360,2340,0.015263157894736841,,0.03717948717948718
clinc150,0.75,123,ADB,known_correct,3007,5700,3360,2340,0.5275438596491228,0.8949404761904762,
clinc150,0.75,123,ADB,known_wrong,66,5700,3360,2340,0.011578947368421053,0.019642857142857142,
clinc150,0.75,123,ADB,known_rejected,287,5700,3360,2340,0.05035087719298246,0.08541666666666667,
clinc150,0.75,123,ADB,oos_correct_rejected,1859,5700,3360,2340,0.326140350877193,,0.7944444444444444
clinc150,0.75,123,ADB,oos_false_accept,481,5700,3360,2340,0.0843859649122807,,0.20555555555555555
banking77,0.25,13,Trainable-K1,known_correct,616,3080,760,2320,0.2,0.8105263157894737,
banking77,0.25,13,Trainable-K1,known_wrong,13,3080,760,2320,0.0042207792207792205,0.017105263157894738,
banking77,0.25,13,Trainable-K1,known_rejected,131,3080,760,2320,0.04253246753246753,0.1723684210526316,
banking77,0.25,13,Trainable-K1,oos_correct_rejected,2069,3080,760,2320,0.6717532467532468,,0.8918103448275863
banking77,0.25,13,Trainable-K1,oos_false_accept,251,3080,760,2320,0.08149350649350649,,0.10818965517241379
banking77,0.25,13,ADB,known_correct,647,3080,760,2320,0.21006493506493507,0.8513157894736842,
banking77,0.25,13,ADB,known_wrong,18,3080,760,2320,0.005844155844155844,0.02368421052631579,
banking77,0.25,13,ADB,known_rejected,95,3080,760,2320,0.030844155844155844,0.125,
banking77,0.25,13,ADB,oos_correct_rejected,1675,3080,760,2320,0.5438311688311688,,0.7219827586206896
banking77,0.25,13,ADB,oos_false_accept,645,3080,760,2320,0.20941558441558442,,0.27801724137931033
banking77,0.25,42,Trainable-K1,known_correct,620,3080,760,2320,0.2012987012987013,0.8157894736842105,
banking77,0.25,42,Trainable-K1,known_wrong,1,3080,760,2320,0.0003246753246753247,0.0013157894736842105,
banking77,0.25,42,Trainable-K1,known_rejected,139,3080,760,2320,0.04512987012987013,0.18289473684210528,
banking77,0.25,42,Trainable-K1,oos_correct_rejected,2091,3080,760,2320,0.6788961038961039,,0.9012931034482758
banking77,0.25,42,Trainable-K1,oos_false_accept,229,3080,760,2320,0.07435064935064935,,0.09870689655172414
banking77,0.25,42,ADB,known_correct,663,3080,760,2320,0.21525974025974026,0.8723684210526316,
banking77,0.25,42,ADB,known_wrong,14,3080,760,2320,0.004545454545454545,0.018421052631578946,
banking77,0.25,42,ADB,known_rejected,83,3080,760,2320,0.026948051948051947,0.10921052631578948,
banking77,0.25,42,ADB,oos_correct_rejected,1710,3080,760,2320,0.5551948051948052,,0.7370689655172413
banking77,0.25,42,ADB,oos_false_accept,610,3080,760,2320,0.19805194805194806,,0.2629310344827586
banking77,0.25,87,Trainable-K1,known_correct,616,3080,760,2320,0.2,0.8105263157894737,
banking77,0.25,87,Trainable-K1,known_wrong,2,3080,760,2320,0.0006493506493506494,0.002631578947368421,
banking77,0.25,87,Trainable-K1,known_rejected,142,3080,760,2320,0.046103896103896105,0.1868421052631579,
banking77,0.25,87,Trainable-K1,oos_correct_rejected,2142,3080,760,2320,0.6954545454545454,,0.9232758620689655
banking77,0.25,87,Trainable-K1,oos_false_accept,178,3080,760,2320,0.05779220779220779,,0.07672413793103448
banking77,0.25,87,ADB,known_correct,650,3080,760,2320,0.21103896103896103,0.8552631578947368,
banking77,0.25,87,ADB,known_wrong,7,3080,760,2320,0.0022727272727272726,0.009210526315789473,
banking77,0.25,87,ADB,known_rejected,103,3080,760,2320,0.03344155844155844,0.1355263157894737,
banking77,0.25,87,ADB,oos_correct_rejected,1676,3080,760,2320,0.5441558441558442,,0.7224137931034482
banking77,0.25,87,ADB,oos_false_accept,644,3080,760,2320,0.20909090909090908,,0.2775862068965517
banking77,0.25,100,Trainable-K1,known_correct,601,3080,760,2320,0.19512987012987013,0.7907894736842105,
banking77,0.25,100,Trainable-K1,known_wrong,14,3080,760,2320,0.004545454545454545,0.018421052631578946,
banking77,0.25,100,Trainable-K1,known_rejected,145,3080,760,2320,0.04707792207792208,0.19078947368421054,
banking77,0.25,100,Trainable-K1,oos_correct_rejected,2146,3080,760,2320,0.6967532467532468,,0.925
banking77,0.25,100,Trainable-K1,oos_false_accept,174,3080,760,2320,0.05649350649350649,,0.075
banking77,0.25,100,ADB,known_correct,659,3080,760,2320,0.21396103896103896,0.8671052631578947,
banking77,0.25,100,ADB,known_wrong,13,3080,760,2320,0.0042207792207792205,0.017105263157894738,
banking77,0.25,100,ADB,known_rejected,88,3080,760,2320,0.02857142857142857,0.11578947368421053,
banking77,0.25,100,ADB,oos_correct_rejected,1837,3080,760,2320,0.5964285714285714,,0.7918103448275862
banking77,0.25,100,ADB,oos_false_accept,483,3080,760,2320,0.15681818181818183,,0.2081896551724138
banking77,0.25,123,Trainable-K1,known_correct,624,3080,760,2320,0.2025974025974026,0.8210526315789474,
banking77,0.25,123,Trainable-K1,known_wrong,3,3080,760,2320,0.000974025974025974,0.003947368421052632,
banking77,0.25,123,Trainable-K1,known_rejected,133,3080,760,2320,0.04318181818181818,0.175,
banking77,0.25,123,Trainable-K1,oos_correct_rejected,1954,3080,760,2320,0.6344155844155844,,0.8422413793103448
banking77,0.25,123,Trainable-K1,oos_false_accept,366,3080,760,2320,0.11883116883116883,,0.15775862068965518
banking77,0.25,123,ADB,known_correct,652,3080,760,2320,0.21168831168831168,0.8578947368421053,
banking77,0.25,123,ADB,known_wrong,1,3080,760,2320,0.0003246753246753247,0.0013157894736842105,
banking77,0.25,123,ADB,known_rejected,107,3080,760,2320,0.03474025974025974,0.14078947368421052,
banking77,0.25,123,ADB,oos_correct_rejected,1639,3080,760,2320,0.5321428571428571,,0.7064655172413793
banking77,0.25,123,ADB,oos_false_accept,681,3080,760,2320,0.2211038961038961,,0.2935344827586207
banking77,0.5,13,Trainable-K1,known_correct,1213,3080,1520,1560,0.3938311688311688,0.7980263157894737,
banking77,0.5,13,Trainable-K1,known_wrong,29,3080,1520,1560,0.009415584415584415,0.019078947368421053,
banking77,0.5,13,Trainable-K1,known_rejected,278,3080,1520,1560,0.09025974025974026,0.18289473684210528,
banking77,0.5,13,Trainable-K1,oos_correct_rejected,1348,3080,1520,1560,0.43766233766233764,,0.8641025641025641
banking77,0.5,13,Trainable-K1,oos_false_accept,212,3080,1520,1560,0.06883116883116883,,0.1358974358974359
banking77,0.5,13,ADB,known_correct,1320,3080,1520,1560,0.42857142857142855,0.868421052631579,
banking77,0.5,13,ADB,known_wrong,43,3080,1520,1560,0.01396103896103896,0.028289473684210528,
banking77,0.5,13,ADB,known_rejected,157,3080,1520,1560,0.05097402597402598,0.10328947368421053,
banking77,0.5,13,ADB,oos_correct_rejected,1094,3080,1520,1560,0.3551948051948052,,0.7012820512820512
banking77,0.5,13,ADB,oos_false_accept,466,3080,1520,1560,0.1512987012987013,,0.2987179487179487
banking77,0.5,42,Trainable-K1,known_correct,1206,3080,1520,1560,0.39155844155844155,0.7934210526315789,
banking77,0.5,42,Trainable-K1,known_wrong,40,3080,1520,1560,0.012987012987012988,0.02631578947368421,
banking77,0.5,42,Trainable-K1,known_rejected,274,3080,1520,1560,0.08896103896103896,0.18026315789473685,
banking77,0.5,42,Trainable-K1,oos_correct_rejected,1332,3080,1520,1560,0.43246753246753245,,0.8538461538461538
banking77,0.5,42,Trainable-K1,oos_false_accept,228,3080,1520,1560,0.07402597402597402,,0.14615384615384616
banking77,0.5,42,ADB,known_correct,1310,3080,1520,1560,0.4253246753246753,0.8618421052631579,
banking77,0.5,42,ADB,known_wrong,57,3080,1520,1560,0.018506493506493506,0.0375,
banking77,0.5,42,ADB,known_rejected,153,3080,1520,1560,0.04967532467532468,0.1006578947368421,
banking77,0.5,42,ADB,oos_correct_rejected,978,3080,1520,1560,0.31753246753246755,,0.6269230769230769
banking77,0.5,42,ADB,oos_false_accept,582,3080,1520,1560,0.18896103896103897,,0.3730769230769231
banking77,0.5,87,Trainable-K1,known_correct,1217,3080,1520,1560,0.3951298701298701,0.8006578947368421,
banking77,0.5,87,Trainable-K1,known_wrong,30,3080,1520,1560,0.00974025974025974,0.019736842105263157,
banking77,0.5,87,Trainable-K1,known_rejected,273,3080,1520,1560,0.08863636363636364,0.17960526315789474,
banking77,0.5,87,Trainable-K1,oos_correct_rejected,1370,3080,1520,1560,0.4448051948051948,,0.8782051282051282
banking77,0.5,87,Trainable-K1,oos_false_accept,190,3080,1520,1560,0.06168831168831169,,0.12179487179487179
banking77,0.5,87,ADB,known_correct,1310,3080,1520,1560,0.4253246753246753,0.8618421052631579,
banking77,0.5,87,ADB,known_wrong,44,3080,1520,1560,0.014285714285714285,0.02894736842105263,
banking77,0.5,87,ADB,known_rejected,166,3080,1520,1560,0.05389610389610389,0.10921052631578948,
banking77,0.5,87,ADB,oos_correct_rejected,1050,3080,1520,1560,0.3409090909090909,,0.6730769230769231
banking77,0.5,87,ADB,oos_false_accept,510,3080,1520,1560,0.16558441558441558,,0.3269230769230769
banking77,0.5,100,Trainable-K1,known_correct,1211,3080,1520,1560,0.3931818181818182,0.7967105263157894,
banking77,0.5,100,Trainable-K1,known_wrong,41,3080,1520,1560,0.013311688311688311,0.026973684210526316,
banking77,0.5,100,Trainable-K1,known_rejected,268,3080,1520,1560,0.08701298701298701,0.1763157894736842,
banking77,0.5,100,Trainable-K1,oos_correct_rejected,1286,3080,1520,1560,0.41753246753246753,,0.8243589743589743
banking77,0.5,100,Trainable-K1,oos_false_accept,274,3080,1520,1560,0.08896103896103896,,0.17564102564102563
banking77,0.5,100,ADB,known_correct,1276,3080,1520,1560,0.4142857142857143,0.8394736842105263,
banking77,0.5,100,ADB,known_wrong,73,3080,1520,1560,0.023701298701298702,0.04802631578947368,
banking77,0.5,100,ADB,known_rejected,171,3080,1520,1560,0.05551948051948052,0.1125,
banking77,0.5,100,ADB,oos_correct_rejected,1029,3080,1520,1560,0.3340909090909091,,0.6596153846153846
banking77,0.5,100,ADB,oos_false_accept,531,3080,1520,1560,0.1724025974025974,,0.3403846153846154
banking77,0.5,123,Trainable-K1,known_correct,1235,3080,1520,1560,0.400974025974026,0.8125,
banking77,0.5,123,Trainable-K1,known_wrong,26,3080,1520,1560,0.008441558441558441,0.017105263157894738,
banking77,0.5,123,Trainable-K1,known_rejected,259,3080,1520,1560,0.08409090909090909,0.17039473684210527,
banking77,0.5,123,Trainable-K1,oos_correct_rejected,1236,3080,1520,1560,0.4012987012987013,,0.7923076923076923
banking77,0.5,123,Trainable-K1,oos_false_accept,324,3080,1520,1560,0.10519480519480519,,0.2076923076923077
banking77,0.5,123,ADB,known_correct,1302,3080,1520,1560,0.42272727272727273,0.8565789473684211,
banking77,0.5,123,ADB,known_wrong,40,3080,1520,1560,0.012987012987012988,0.02631578947368421,
banking77,0.5,123,ADB,known_rejected,178,3080,1520,1560,0.05779220779220779,0.11710526315789474,
banking77,0.5,123,ADB,oos_correct_rejected,1023,3080,1520,1560,0.33214285714285713,,0.6557692307692308
banking77,0.5,123,ADB,oos_false_accept,537,3080,1520,1560,0.17435064935064934,,0.34423076923076923
banking77,0.75,13,Trainable-K1,known_correct,1838,3080,2320,760,0.5967532467532467,0.7922413793103448,
banking77,0.75,13,Trainable-K1,known_wrong,81,3080,2320,760,0.026298701298701297,0.034913793103448276,
banking77,0.75,13,Trainable-K1,known_rejected,401,3080,2320,760,0.1301948051948052,0.1728448275862069,
banking77,0.75,13,Trainable-K1,oos_correct_rejected,572,3080,2320,760,0.18571428571428572,,0.7526315789473684
banking77,0.75,13,Trainable-K1,oos_false_accept,188,3080,2320,760,0.06103896103896104,,0.24736842105263157
banking77,0.75,13,ADB,known_correct,2002,3080,2320,760,0.65,0.8629310344827587,
banking77,0.75,13,ADB,known_wrong,101,3080,2320,760,0.03279220779220779,0.043534482758620686,
banking77,0.75,13,ADB,known_rejected,217,3080,2320,760,0.07045454545454545,0.0935344827586207,
banking77,0.75,13,ADB,oos_correct_rejected,491,3080,2320,760,0.15941558441558443,,0.6460526315789473
banking77,0.75,13,ADB,oos_false_accept,269,3080,2320,760,0.08733766233766234,,0.3539473684210526
