dataset,kir,method,state,count_mean,count_std,rate_all_mean,rate_all_std,rate_known_mean,rate_oos_mean,n_seeds
banking77,0.75,Trainable-K1,oos_correct_rejected,611.0,34.813790371058424,0.19837662337662337,0.011303178691902076,,0.8039473684210525,5
banking77,0.75,Trainable-K1,oos_false_accept,149.0,34.813790371058424,0.04837662337662337,0.011303178691902088,,0.19605263157894737,5
clinc150,0.25,ADB,known_correct,1029.0,11.335784048754611,0.1805263157894737,0.0019887340436411586,0.9026315789473685,,5
clinc150,0.25,ADB,known_rejected,102.8,10.377861051295687,0.018035087719298244,0.001820677377420296,0.09017543859649123,,5
clinc150,0.25,ADB,known_wrong,8.2,3.2710854467592254,0.0014385964912280703,0.0005738746397823202,0.007192982456140351,,5
clinc150,0.25,ADB,oos_correct_rejected,3940.6,76.10059132490366,0.6913333333333334,0.013350980934193686,,0.8641666666666665,5
clinc150,0.25,ADB,oos_false_accept,619.4,76.10059132490365,0.10866666666666666,0.013350980934193618,,0.13583333333333333,5
clinc150,0.25,Trainable-K1,known_correct,836.4,9.607288899580366,0.14673684210526317,0.0016854892806281358,0.7336842105263158,,5
clinc150,0.25,Trainable-K1,known_rejected,300.6,9.528903399657274,0.05273684210526316,0.0016717374385363667,0.2636842105263158,,5
clinc150,0.25,Trainable-K1,known_wrong,3.0,1.5811388300841898,0.0005263157894736842,0.0002773927772077526,0.002631578947368421,,5
clinc150,0.25,Trainable-K1,oos_correct_rejected,4412.4,50.267285584164966,0.7741052631578947,0.008818822032309685,,0.9676315789473684,5
clinc150,0.25,Trainable-K1,oos_false_accept,147.6,50.26728558416498,0.025894736842105266,0.008818822032309645,,0.03236842105263158,5
clinc150,0.5,ADB,known_correct,2016.2,16.70927885936434,0.35371929824561404,0.0029314524314674323,0.8960888888888888,,5
clinc150,0.5,ADB,known_rejected,206.0,13.619838471876236,0.03614035087719299,0.0023894453459432003,0.09155555555555556,,5
clinc150,0.5,ADB,known_wrong,27.8,7.791020472312982,0.0048771929824561406,0.0013668456968970145,0.012355555555555555,,5
clinc150,0.5,ADB,oos_correct_rejected,2955.0,63.103090257134,0.5184210526315789,0.011070717588970883,,0.8565217391304347,5
clinc150,0.5,ADB,oos_false_accept,495.0,63.103090257134,0.0868421052631579,0.011070717588970876,,0.14347826086956522,5
clinc150,0.5,Trainable-K1,known_correct,1655.8,14.686728703152381,0.29049122807017547,0.002576619070728496,0.7359111111111111,,5
clinc150,0.5,Trainable-K1,known_rejected,575.0,7.615773105863909,0.10087719298245615,0.0013361005448884074,0.25555555555555554,,5
clinc150,0.5,Trainable-K1,known_wrong,19.2,12.437845472588894,0.0033684210526315787,0.0021820781530857707,0.008533333333333334,,5
clinc150,0.5,Trainable-K1,oos_correct_rejected,3322.6,26.12087287974884,0.5829122807017544,0.0045826092771489284,,0.9630724637681161,5
clinc150,0.5,Trainable-K1,oos_false_accept,127.4,26.12087287974887,0.022350877192982458,0.004582609277148924,,0.036927536231884064,5
clinc150,0.75,ADB,known_correct,3013.2,13.17952958189328,0.5286315789473685,0.002312198172261974,0.8967857142857143,,5
