dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
clinc150,0.25,random_partition,Random K=2,ingredients_list,30.0,0.2333333333333333,0.0060307017543859,9,0.1807748538011663,0.03336029114435932
clinc150,0.25,random_partition,Random K=2,no,30.0,0.0166666666666666,0.0058114035087719,10,0.1807748538011663,0.032147189648200986
clinc150,0.25,trainable_k1,Trainable K=1,change_user_name,30.0,0.2666666666666666,0.0120614035087719,1,0.10290570175438331,0.11720831113479228
clinc150,0.25,trainable_k1,Trainable K=1,change_ai_name,30.0,0.4166666666666666,0.0078947368421052,2,0.10290570175438331,0.07671816728822725
clinc150,0.25,trainable_k1,Trainable K=1,what_is_your_name,30.0,0.1666666666666666,0.0072368421052631,3,0.10290570175438331,0.07032498668087499
clinc150,0.25,trainable_k1,Trainable K=1,todo_list_update,30.0,0.3,0.0054824561403508,4,0.10290570175438331,0.0532765050612686
clinc150,0.25,trainable_k1,Trainable K=1,make_call,30.0,0.3333333333333333,0.0052631578947368,5,0.10290570175438331,0.051145444858818175
clinc150,0.25,trainable_k1,Trainable K=1,pto_used,30.0,0.2,0.0052631578947368,6,0.10290570175438331,0.051145444858818175
clinc150,0.25,trainable_k1,Trainable K=1,todo_list,30.0,0.0666666666666666,0.0052631578947368,7,0.10290570175438331,0.051145444858818175
clinc150,0.25,trainable_k1,Trainable K=1,no,30.0,0.0666666666666666,0.0036184210526315,8,0.10290570175438331,0.03516249334043701
clinc150,0.25,trainable_k1,Trainable K=1,yes,30.0,0.3666666666666666,0.0032894736842105,9,0.10290570175438331,0.03196590303676136
clinc150,0.25,trainable_k1,Trainable K=1,accept_reservations,30.0,0.2333333333333333,0.0032894736842105,10,0.10290570175438331,0.03196590303676136
clinc150,0.5,fixed_k2,Frozen K=2,change_ai_name,30.0,0.3,0.0102898550724637,1,0.12107729468598691,0.08498583569405284
clinc150,0.5,fixed_k2,Frozen K=2,time,30.0,0.1666666666666666,0.0063768115942028,2,0.12107729468598691,0.0526672784582858
clinc150,0.5,fixed_k2,Frozen K=2,todo_list_update,30.0,0.175,0.0060869565217391,3,0.12107729468598691,0.05027331125563697
clinc150,0.5,fixed_k2,Frozen K=2,play_music,30.0,0.3833333333333333,0.0059420289855072,4,0.12107729468598691,0.04907632765431215
