dataset,kir,method_label,layer,status,directly_comparable,source,n_seeds,oos_f1_mean,f1_all_mean,f1_k_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,auroc_mean,aupr_oos_mean
stackoverflow,0.25,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9063585472441908,0.6905304844967872,0.6473648719473064,0.5414666666666667,0.0443555555555555,0.4585333333333333,0.8501,0.8315969481481481,0.8999522662047736
stackoverflow,0.25,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8911014170392451,0.8086454974094963,0.7921543134835465,0.8609333333333333,0.1568444444444444,0.1390666666666666,0.842,0.9205399703703704,0.9557569260950344
stackoverflow,0.25,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8948207530022316,0.8101159547533475,0.7931749951035708,0.8561333333333334,0.1495555555555555,0.1438666666666666,0.8465666666666667,0.9199174814814814,0.9547420553298818
stackoverflow,0.25,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9547969095009252,0.8763726851882936,0.8606878403257671,0.8429333333333332,0.0384888888888888,0.1570666666666666,0.9304666666666666,0.9529569185185184,0.97729782543531
stackoverflow,0.5,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.6352945072329976,0.7275883031957765,0.7368176827920545,0.8688666666666667,0.4716666666666667,0.1311333333333333,0.6692666666666667,0.8259930444444444,0.7638740861715021
stackoverflow,0.5,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.729199427573284,0.4329803937892986,0.4033584904109001,0.2709333333333333,0.0079333333333332,0.7290666666666666,0.6305666666666667,0.8476909333333333,0.7865554428431313
stackoverflow,0.5,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7924706249591658,0.63344181949998,0.6175389389540615,0.5038666666666667,0.0185999999999999,0.4961333333333333,0.7407333333333334,0.8663389555555556,0.8165219640522269
stackoverflow,0.5,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7335218198140271,0.6358695194997168,0.6261042894682859,0.5449333333333334,0.1569333333333333,0.4550666666666666,0.6835333333333333,0.732959,0.6619594619282418
stackoverflow,0.5,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7587996754762378,0.7980409512231381,0.8019650787978282,0.8764,0.3097999999999999,0.1235999999999999,0.7609999999999999,0.8881375111111112,0.8423902188868467
stackoverflow,0.5,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7654959559609912,0.7997964624589458,0.8032265131087414,0.8714666666666666,0.2970666666666666,0.1285333333333333,0.7657666666666667,0.8876673111111112,0.8402327675198755
