dataset,kir,baseline,baseline_label,delta_oos_f1,delta_f1_all,delta_f1_k,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_accuracy,delta_auroc,delta_aupr_oos
stackoverflow,0.75,fixed_k2,Frozen K=2,32.66908681220603,12.814158057714675,11.490496140748563,-3.9066666666666583,-52.86666666666668,3.9066666666666694,16.336666666666655,15.325754074074094,30.312612771513376
banking77,0.25,random_partition,Random K=2,6.648992298504963,9.195491647336084,9.329517928853514,-2.894736842105261,-11.982758620689669,2.8947368421052695,8.636363636363631,2.8612182395644226,1.316832085075259
banking77,0.5,random_partition,Random K=2,11.941976656247256,6.95350122551096,6.822225556281047,-3.749999999999998,-20.75641025641026,3.750000000000009,10.116883116883123,4.572891363022935,5.585656230786428
banking77,0.75,random_partition,Random K=2,15.27460737318238,5.237721006616725,5.064671241675933,-4.862068965517241,-29.71052631578947,4.862068965517241,7.15584415584416,6.8875000000000135,14.450673236828704
clinc150,0.25,random_partition,Random K=2,0.9242994189447074,0.9095768638449853,0.9091894281844759,-5.2105263157894655,-2.9342105263157907,5.21052631578948,1.414035087719323,1.5135233918128432,0.5059112382435949
clinc150,0.5,random_partition,Random K=2,1.3703034269944792,1.0659075969319032,1.061848985864433,-5.031111111111109,-5.2695652173913,5.031111111111109,1.785964912280702,2.3010705314009394,1.836839453979644
clinc150,0.75,random_partition,Random K=2,0.6441878353032449,0.5671106931750103,0.5664225044060056,-4.928571428571427,-6.205128205128201,4.928571428571421,0.8385964912280719,2.728093203093207,4.314606513632924
stackoverflow,0.25,random_partition,Random K=2,6.369549246168016,6.772718777879727,6.853352684222058,-1.8000000000000127,-11.83555555555556,1.8000000000000016,8.846666666666659,3.2416948148147995,2.1540899340275588
stackoverflow,0.5,random_partition,Random K=2,11.790698965739931,6.746682383061852,6.242280724794025,-3.746666666666665,-21.64,3.7466666666666706,10.713333333333342,3.5380622222222047,5.1154643169354586
stackoverflow,0.75,random_partition,Random K=2,11.293861135866813,6.200851699830546,5.861317737428095,-4.080000000000005,-25.759999999999998,4.08,7.439999999999991,4.691653333333356,11.023278774517753
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-0.40216001840117643,7.360488878673099,7.76904934694016,20.157894736842096,6.310344827586201,-20.157894736842096,0.09740259740259605,3.1328153357531696,1.6581515169749372
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,4.166585883096019,16.863831395599448,17.19796943540216,30.02631578947369,12.24358974358975,-30.026315789473678,7.785714285714295,4.682776653171372,7.230938533199682
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,15.520265696899072,25.52398236456419,25.696460238144613,36.55172413793103,15.55263157894737,-36.55172413793103,21.870129870129873,7.858541288566256,19.39707088525714
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,1.0328805312903255,9.527641905276042,9.751188257223031,13.456140350877188,0.9999999999999999,-13.456140350877188,1.9122807017543986,3.139188981224983,1.410057024178557
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,4.883975328188117,17.218445645264158,17.382905249491852,21.102222222222224,1.19420289855073,-21.102222222222224,7.48771929824561,4.799049275362277,4.523066692440381
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,10.874981752645274,23.311064915647727,23.422101372460258,27.0297619047619,2.12820512820513,-27.029761904761905,14.792982456140347,5.328607041107036,9.871878945583902
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,2.8800829501088976,14.186338138724231,16.447589176447288,25.186666666666657,1.8177777777777804,-25.186666666666667,4.843333333333311,3.6505185185185196,1.696412086274135
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,8.42360401744714,23.206595555377664,24.684894709170692,33.50666666666666,7.48,-33.506666666666675,12.739999999999995,5.717917777777759,7.702289800397444
stackoverflow,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,24.736595808066575,37.69603934104305,38.560002243241456,45.0488888888889,6.999999999999999,-45.0488888888889,30.97333333333333,13.674391111111127,30.880560866245414
banking77,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,0.9765053440882632,13.019498072728808,13.653339795288833,27.97368421052632,5.81896551724137,-27.97368421052632,2.4415584415584446,4.5444419237749445,2.0229828702653774
banking77,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,4.704595729472083,15.995487959600773,16.292616702498886,28.96052631578948,10.500000000000009,-28.96052631578947,8.558441558441565,5.498237179487175,6.606211126114303
banking77,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,13.582420934583295,18.456714201557855,18.540753740643623,28.85344827586207,11.47368421052632,-28.85344827586207,18.11688311688311,6.804128856624336,13.74344230051564
clinc150,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,2.5265198958437263,23.02044145804234,23.55975518336336,31.736842105263165,2.0570175438596494,-31.736842105263158,4.680701754385974,5.707067559249001,2.458050294004721
clinc150,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,7.116170928491883,25.40730684777799,25.651188660035153,32.204444444444455,2.0057971014492804,-32.204444444444455,11.42456140350877,6.34435040257647,6.333883117283367
clinc150,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,12.80887512487785,25.98345652319405,26.101086714250453,32.273809523809526,2.13675213675214,-32.273809523809526,17.971929824561407,6.978177146927145,13.138792299030433
stackoverflow,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,4.843836225673437,18.584220069150636,21.332296837846066,30.146666666666654,-0.58666666666667,-30.146666666666665,8.036666666666658,12.135997037037027,7.734555923053632
stackoverflow,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,14.318484531961007,22.963825555403982,23.828359657748255,29.39999999999999,-6.3533333333333415,-29.400000000000006,18.459999999999997,19.05591333333332,23.158540012795946
stackoverflow,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,27.824368386826375,26.06019010606666,25.942578220682655,30.61777777777778,-14.573333333333338,-30.617777777777782,27.94333333333333,24.235842962962984,40.28976641304934
banking77,0.25,mogb_minilm,MOGB-MiniLM,1.3546323975643149,22.634433973076153,23.754423529682022,41.86842105263158,8.82758620689655,-41.86842105263158,3.506493506493502,5.393330308529942,3.0821049912699405
banking77,0.5,mogb_minilm,MOGB-MiniLM,8.570376379212185,33.07274264941491,33.71754176178867,48.802631578947384,14.653846153846159,-48.80263157894736,15.655844155844168,6.5795799595141595,9.914921652046038
banking77,0.75,mogb_minilm,MOGB-MiniLM,21.01898937725949,41.73829221351943,42.09552157276527,53.646551724137936,18.8421052631579,-53.64655172413792,33.69480519480519,9.13011569872959,22.18224979549244
clinc150,0.25,mogb_minilm,MOGB-MiniLM,2.7806639669319178,27.44957991824698,28.0987619169658,36.5263157894737,2.5789473684210598,-36.52631578947369,5.1964912280701885,5.278781932902421,2.415330348563882
clinc150,0.5,mogb_minilm,MOGB-MiniLM,9.119903794751227,36.86281655804937,37.232722061560025,42.87111111111111,2.78840579710145,-42.87111111111111,14.96140350877193,7.685768760064393,8.166450604503906
clinc150,0.75,mogb_minilm,MOGB-MiniLM,16.91778004468719,41.11536689108507,41.3314167736422,45.92261904761905,3.1880341880341896,-45.92261904761905,25.2421052631579,8.573850223850233,17.237838123270766
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,6.039685255607963,33.56688196655215,39.072321308740975,51.67999999999999,2.91111111111111,-51.680000000000014,10.613333333333319,8.57231407407405,5.169402976844994
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,14.750723756035311,43.252738126445806,46.102939563486835,56.800000000000004,8.54666666666667,-56.800000000000004,23.75666666666666,7.582719999999988,10.698941921307004
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,30.715381177407565,54.18678928158715,55.751549821865765,62.942222222222235,8.13333333333333,-62.942222222222235,43.88666666666666,12.57513777777779,29.13539601246413
